station_1,station_2,station_3,between_ratio,perimeter,delta,tau,cutoff,perimeter_norm,trips_between_norm,combined_between_ratio_distance,station1_name,station2_name,station3_name
C32036,M32011,M32037,0.008750437521876094,9.408228483445896,1h,2,10,0.5714813078962904,0.9087226539896451,0.5193180108169906,Seaport Blvd at Sleeper St,Central Square at Mass Ave / Essex St,Ames St at Main St
C32036,D32019,M32042,0.0072668550666128385,9.195236444712796,1h,2,10,0.5578196078418175,0.9248898849942657,0.515921712944365,Seaport Blvd at Sleeper St,Chinatown T Stop,MIT Vassar St
C32036,M32011,M32005,0.013420245398773007,9.40651673686799,1h,2,10,0.5713715133309362,0.8578337651212525,0.4901417765637049,Seaport Blvd at Sleeper St,Central Square at Mass Ave / Essex St,MIT Stata Center at Vassar St / Main St
M32005,A32004,B32007,0.004077471967380225,12.228020604575057,2h,0,10,0.7523479468747817,0.9596459534180977,0.7219876627807982,MIT Stata Center at Vassar St / Main St,Longwood Ave at Binney St,Seaport Square - Seaport Blvd at Northern Ave
M32005,C32034,A32004,0.0030425963488843813,12.017967638265187,2h,0,10,0.7388747643166593,0.9709234345758961,0.7173908238917867,MIT Stata Center at Vassar St / Main St,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,Longwood Ave at Binney St
M32037,A32004,B32007,0.006331976481230212,12.159418874499629,2h,0,10,0.7479477060719655,0.9350776558172038,0.6993891876676285,Ames St at Main St,Longwood Ave at Binney St,Seaport Square - Seaport Blvd at Northern Ave
M32037,C32034,A32004,0.005402971634398919,11.950046367626104,2h,0,10,0.7345181694302532,0.9452014180050415,0.6942676152959426,Ames St at Main St,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,Longwood Ave at Binney St
M32005,D32006,A32004,0.0032124827902707664,11.580499927842204,2h,0,10,0.7108147829255004,0.9690721095398642,0.6888307811817354,MIT Stata Center at Vassar St / Main St,Lewis Wharf at Atlantic Ave,Longwood Ave at Binney St
D32006,C32029,M32011,0.007689350249903883,12.180010093804547,2h,1,10,0.7492684646485439,0.9202857747189161,0.689541109461538,Lewis Wharf at Atlantic Ave,W Broadway at D St,Central Square at Mass Ave / Essex St
M32042,D32006,C32029,0.010267857142857143,11.898310227789908,2h,1,10,0.7311997185218413,0.892186684953134,0.6523666529066663,MIT Vassar St,Lewis Wharf at Atlantic Ave,W Broadway at D St
A32010,C32029,M32011,0.011194029850746268,10.787108200228118,2h,1,10,0.6599251822022258,0.8820937857917177,0.5821159023080504,South Station - 700 Atlantic Ave,W Broadway at D St,Central Square at Mass Ave / Essex St
M32037,C32029,M32011,0.008540660972892685,10.376341409289822,2h,1,10,0.6335778467641652,0.9110086785477916,0.5771949169377772,Ames St at Main St,W Broadway at D St,Central Square at Mass Ave / Essex St
M32006,D32006,C32029,0.00931899641577061,10.318961101575033,2h,1,10,0.629897368574954,0.9025268251398809,0.5684992722239187,MIT at Mass Ave / Amherst St,Lewis Wharf at Atlantic Ave,W Broadway at D St
M32011,D32019,C32029,0.005609573672400898,10.484353126538812,2h,2,10,0.6405059164338177,0.9429499874475059,0.6039650458613217,Central Square at Mass Ave / Essex St,Chinatown T Stop,W Broadway at D St
A32010,M32011,C32029,0.011194029850746268,10.787108200228118,2h,2,10,0.6599251822022258,0.8820937857917177,0.5821159023080504,South Station - 700 Atlantic Ave,Central Square at Mass Ave / Essex St,W Broadway at D St
M32037,M32011,C32029,0.008540660972892685,10.376341409289822,2h,2,10,0.6335778467641652,0.9110086785477916,0.5771949169377772,Ames St at Main St,Central Square at Mass Ave / Essex St,W Broadway at D St
M32042,D32019,C32029,0.0060527453523562475,9.841212274208546,2h,2,10,0.5992536824556063,0.9381205565661112,0.562172198109545,MIT Vassar St,Chinatown T Stop,W Broadway at D St
M32011,B32016,C32029,0.013220712449504223,10.469047164700681,2h,2,10,0.639524163965878,0.8600081608027444,0.5499960000412075,Central Square at Mass Ave / Essex St,Beacon St at Massachusetts Ave,W Broadway at D St
M32005,C32020,C32067,0.0015698587127158557,11.493569104386749,4h,0,10,0.7052388804523334,0.9869724849597593,0.6960513703302781,MIT Stata Center at Vassar St / Main St,ID Building East,Washington St at Peters Park
M32005,C32057,C32020,0.0014336917562724014,11.303608709303763,4h,0,10,0.6930544722683968,0.9884563543815144,0.6850540970462238,MIT Stata Center at Vassar St / Main St,Harrison Ave at Mullins Way,ID Building East
M32037,C32020,C32067,0.0013131976362442547,11.154678111190826,4h,0,10,0.6835017905228514,0.9897694302178337,0.6765091777586718,Ames St at Main St,ID Building East,Washington St at Peters Park
M32037,C32057,C32020,0.0012165450121654502,10.941173645306625,4h,0,10,0.6698072224509646,0.9908226951005109,0.6636601973466522,Ames St at Main St,Harrison Ave at Mullins Way,ID Building East
